fips,NAME,variable,median_income,moe
13055,"Chattooga County, Georgia",B06011_001,21377,1541
13057,"Cherokee County, Georgia",B06011_001,37888,1284
13059,"Clarke County, Georgia",B06011_001,22112,623
13061,"Clay County, Georgia",B06011_001,20675,5172
13063,"Clayton County, Georgia",B06011_001,26336,622
13065,"Clinch County, Georgia",B06011_001,22344,4705
13067,"Cobb County, Georgia",B06011_001,39095,698
13069,"Coffee County, Georgia",B06011_001,23931,1788
13071,"Colquitt County, Georgia",B06011_001,22048,1285
13073,"Columbia County, Georgia",B06011_001,36817,1977
13075,"Cook County, Georgia",B06011_001,23864,2038
13077,"Coweta County, Georgia",B06011_001,36980,1238
13079,"Crawford County, Georgia",B06011_001,27295,2610
13081,"Crisp County, Georgia",B06011_001,21088,1705
13083,"Dade County, Georgia",B06011_001,22983,2182
13085,"Dawson County, Georgia",B06011_001,35214,3307
13087,"Decatur County, Georgia",B06011_001,23798,1844
13089,"DeKalb County, Georgia",B06011_001,34202,545
13091,"Dodge County, Georgia",B06011_001,24212,2176
13093,"Dooly County, Georgia",B06011_001,25249,2445
13095,"Dougherty County, Georgia",B06011_001,22045,814
13097,"Douglas County, Georgia",B06011_001,32492,1112
13099,"Early County, Georgia",B06011_001,20694,1103
13101,"Echols County, Georgia",B06011_001,26612,6319
13103,"Effingham County, Georgia",B06011_001,33517,1799
13105,"Elbert County, Georgia",B06011_001,22313,1872
13107,"Emanuel County, Georgia",B06011_001,21540,961
13109,"Evans County, Georgia",B06011_001,24603,2369
13111,"Fannin County, Georgia",B06011_001,24653,2078
13113,"Fayette County, Georgia",B06011_001,42960,1601
13115,"Floyd County, Georgia",B06011_001,26074,1056
13117,"Forsyth County, Georgia",B06011_001,47387,1620
13119,"Franklin County, Georgia",B06011_001,25979,1782
13121,"Fulton County, Georgia",B06011_001,39877,707
13123,"Gilmer County, Georgia",B06011_001,25323,1513
13125,"Glascock County, Georgia",B06011_001,25908,3227
13127,"Glynn County, Georgia",B06011_001,28867,1755
13129,"Gordon County, Georgia",B06011_001,26333,1364
13131,"Grady County, Georgia",B06011_001,25706,1580
13133,"Greene County, Georgia",B06011_001,28618,2196
13135,"Gwinnett County, Georgia",B06011_001,34466,518
13137,"Habersham County, Georgia",B06011_001,26209,1042
13139,"Hall County, Georgia",B06011_001,29241,857
13141,"Hancock County, Georgia",B06011_001,20952,3084
13143,"Haralson County, Georgia",B06011_001,28395,2939
13145,"Harris County, Georgia",B06011_001,35039,2365
13147,"Hart County, Georgia",B06011_001,24552,2110
13149,"Heard County, Georgia",B06011_001,25035,2378
13151,"Henry County, Georgia",B06011_001,35041,1358
13153,"Houston County, Georgia",B06011_001,33905,1085
13155,"Irwin County, Georgia",B06011_001,20331,1914
13157,"Jackson County, Georgia",B06011_001,32051,1078
13159,"Jasper County, Georgia",B06011_001,25973,2153
13161,"Jeff Davis County, Georgia",B06011_001,21162,2410
13163,"Jefferson County, Georgia",B06011_001,20950,1767
13165,"Jenkins County, Georgia",B06011_001,14918,2808
13167,"Johnson County, Georgia",B06011_001,21579,2241
13169,"Jones County, Georgia",B06011_001,30981,2187
13171,"Lamar County, Georgia",B06011_001,26614,1956
13173,"Lanier County, Georgia",B06011_001,21537,4581
13175,"Laurens County, Georgia",B06011_001,22052,1228
13177,"Lee County, Georgia",B06011_001,37357,2764
13179,"Liberty County, Georgia",B06011_001,30706,914
13181,"Lincoln County, Georgia",B06011_001,23801,2965
13183,"Long County, Georgia",B06011_001,27018,3990
13185,"Lowndes County, Georgia",B06011_001,26534,880
13187,"Lumpkin County, Georgia",B06011_001,24488,2116
13189,"McDuffie County, Georgia",B06011_001,24275,1478
13191,"McIntosh County, Georgia",B06011_001,26868,2064
13193,"Macon County, Georgia",B06011_001,20256,2300
13195,"Madison County, Georgia",B06011_001,26845,1159
13197,"Marion County, Georgia",B06011_001,26809,1509
13199,"Meriwether County, Georgia",B06011_001,22021,2312
13201,"Miller County, Georgia",B06011_001,26104,2400
13205,"Mitchell County, Georgia",B06011_001,23121,2339
13207,"Monroe County, Georgia",B06011_001,29213,2366
13209,"Montgomery County, Georgia",B06011_001,23140,2869
13211,"Morgan County, Georgia",B06011_001,31886,1428
13213,"Murray County, Georgia",B06011_001,26131,975
13215,"Muscogee County, Georgia",B06011_001,26564,701
13217,"Newton County, Georgia",B06011_001,27226,1955
13219,"Oconee County, Georgia",B06011_001,40999,3117
13221,"Oglethorpe County, Georgia",B06011_001,25578,2669
13223,"Paulding County, Georgia",B06011_001,35406,1315
13225,"Peach County, Georgia",B06011_001,25324,2324
13227,"Pickens County, Georgia",B06011_001,31452,1354
13229,"Pierce County, Georgia",B06011_001,22941,1793
13231,"Pike County, Georgia",B06011_001,33452,2809
13233,"Polk County, Georgia",B06011_001,26824,1436
13235,"Pulaski County, Georgia",B06011_001,22385,2657
13237,"Putnam County, Georgia",B06011_001,30172,2803
13239,"Quitman County, Georgia",B06011_001,20574,2579
13241,"Rabun County, Georgia",B06011_001,24093,1635
13243,"Randolph County, Georgia",B06011_001,17360,2194
13245,"Richmond County, Georgia",B06011_001,23722,777
13247,"Rockdale County, Georgia",B06011_001,31986,1040
13249,"Schley County, Georgia",B06011_001,27105,3999
13251,"Screven County, Georgia",B06011_001,22934,2503
13253,"Seminole County, Georgia",B06011_001,22922,2700
13255,"Spalding County, Georgia",B06011_001,26131,959
13257,"Stephens County, Georgia",B06011_001,23688,2652
13259,"Stewart County, Georgia",B06011_001,18984,2710
13261,"Sumter County, Georgia",B06011_001,24684,2037
13263,"Talbot County, Georgia",B06011_001,23183,1549
13265,"Taliaferro County, Georgia",B06011_001,17379,1921
