name,geog,lung_cancer_rate_per100k
"Baxter County, Arkansas",05005,82.1
"Harrison County, West Virginia",54033,82.1
"Levy County, Florida",12075,82.1
"Murray County, Georgia",13213,82
"Bracken County, Kentucky",21023,82
"Ogemaw County, Michigan",26129,81.9
"Morgan County, Kentucky",21175,81.9
"Quitman County, Mississippi",28119,81.8
"Taylor County, West Virginia",54091,81.8
"Ouachita County, Arkansas",05103,81.8
"Lafayette County, Arkansas",05073,81.8
"Peoria County, Illinois",17143,81.7
"Greene County, Arkansas",05055,81.7
"Roscommon County, Michigan",26143,81.6
"Burke County, Georgia",13033,81.5
"Scott County, Missouri",29201,81.5
"Terrell County, Georgia",13273,81.5
"Pawnee County, Oklahoma",40117,81.5
"Gallatin County, Illinois",17059,81.4
"Union County, Illinois",17181,81.3
"Alpena County, Michigan",26007,81.3
"Barrow County, Georgia",13013,81.3
"Montgomery County, New York",36057,81.3
"Schuyler County, Illinois",17169,81.3
"Henderson County, Texas",48213,81.1
"Tishomingo County, Mississippi",28141,81.1
"Cabell County, West Virginia",54011,81.1
"Edwards County, Illinois",17047,81.1
"Pickens County, Georgia",13227,81
"Bibb County, Alabama",01007,81
"Dallas County, Missouri",29059,80.9
"Okmulgee County, Oklahoma",40111,80.9
"McIntosh County, Oklahoma",40091,80.9
"Livingston County, Missouri",29117,80.8
"Mercer County, Missouri",29129,80.8
"McMinn County, Tennessee",47107,80.8
"Somerset County, Maryland",24039,80.8
"Clark County, Ohio",39023,80.8
"Le Flore County, Oklahoma",40079,80.7
"Warren County, Missouri",29219,80.7
"Greenup County, Kentucky",21089,80.7
"Casey County, Kentucky",21045,80.7
"Lowndes County, Alabama",01085,80.7
"Jefferson County, Illinois",17081,80.6
"Walker County, Georgia",13295,80.6
"Chariton County, Missouri",29041,80.5
"Fulton County, New York",36035,80.4
"Grenada County, Mississippi",28043,80.4
"Marshall County, Illinois",17123,80.2
"Tippah County, Mississippi",28139,80.2
"Union County, Mississippi",28145,80.2
"Hickman County, Kentucky",21105,80.1
"Yazoo County, Mississippi",28163,80.1
"Pittsburg County, Oklahoma",40121,80.1
"Randolph County, North Carolina",37151,80.1
"Highland County, Ohio",39071,80.1
"Kay County, Oklahoma",40071,80
"Hardin County, Tennessee",47071,80
"Ottawa County, Oklahoma",40115,80
"Scott County, Mississippi",28123,80
